x,y,heading
-2.0763370766861793,-0.982726620045,243.849578857
-2.1035646060886,-0.995565907098,243.851135254
-2.1308873358635636,-1.00840519462,243.853088379
-2.1581148652659845,-1.02126665553,243.856201172
-2.185437595040948,-1.03411703277,243.860351562
-2.212665122021029,-1.04693414364,243.863571167
-2.2399878542183327,-1.05974016525,243.867248535
-2.267310583993296,-1.07253510458,243.869171143
-2.2946333137682595,-1.08533004345,243.869842529
-2.321956043543223,-1.09816932818,243.869766235
-2.349183572945644,-1.11103079282,243.86891174299998
-2.3765063002982676,-1.12392551498,243.86769104
-2.4037338321230286,-1.13683132734,243.86683654799998
-2.43096135910311,-1.14973714016,243.86613464400003
-2.4582840888780733,-1.16263186187,243.86680603
-2.485511618280494,-1.17548223818,243.86805725099998
-2.5128343480554576,-1.18829934951,243.87004089400003
-2.5400618774578785,-1.20110537531,243.871643066
-2.567384607232842,-1.21392248757,243.87260437
-2.5947073370078058,-1.22675068397,243.87310791
-2.622030066782769,-1.23958997149,243.87326049799998
-2.6493527965577326,-1.25241817068,243.87411499
-2.6767707267052385,-1.26520201936,243.874420166
-2.7041886592750846,-1.27793043293,243.875549316
-2.7316065894225905,-1.29061449505,243.87661743200002
-2.7591197247873183,-1.30330964318,243.878128052
-2.7866328528850275,-1.31603805674,243.879013062
-2.8141459858274156,-1.32882190496,243.878936768
-2.841563918397261,-1.3416833668,243.878768921
-2.86907704891731,-1.35460026609,243.87815856900002
-2.896590181859698,-1.36758369021,243.87739563
-2.9241033148020867,-1.38061146345,243.876098633
-2.9515212473719323,-1.39365032269,243.874389648
-2.979034377891981,-1.40670027351,243.871505737
-3.006642711206912,-1.41975022014,243.86950683599997
-3.0341558441493,-1.43278908404,243.868515015
-3.061764177464231,-1.44582794281,243.867721558
-3.0892773079842795,-1.45883354219,243.867919922
-3.11688564372155,-1.47181696678,243.86906433099998
-3.144493974614141,-1.48476712639,243.870910645
-3.1721023079290718,-1.4977062,243.858123779
-3.199710641244003,-1.51064527361,243.859695435
-3.2273189745589335,-1.52359543415,243.860076904
-3.2548321099236617,-1.5365899452,243.859527588
-3.28234524286605,-1.54961771751,243.859405518
-3.309953576180981,-1.56267875433,243.859436035
-3.3374667067010293,-1.57577305334,243.859222412
-3.3650750400159604,-1.58887843927,243.85818481400003
-3.3925881729583485,-1.60200599767,243.85775756799998
-3.4201965062732795,-1.61513355933,243.85635376
-3.447709636793328,-1.62827220885,243.85554504400002
-3.475317970108259,-1.64141085604,243.85513305700002
-3.5029263034231897,-1.65454950184,243.855453491
-3.5304394363655778,-1.66768814996,243.855789185
-3.5580477721028485,-1.68079353636,243.85716247599998
-3.585560902622897,-1.69386565918,243.858718872
-3.613169235937828,-1.70693778107,243.860626221
-3.6407775692527586,-1.71998773096,243.86227417
-3.668290702195147,-1.73303768039,243.862960815
-3.695899035510078,-1.74609871395,243.864059448
-3.723507368825009,-1.7591819251,243.863876343
-3.7511157021399395,-1.77226513531,243.86279296900003
-3.7787240354548706,-1.78534834646,243.862838745
-3.806332368769801,-1.79843155341,243.862625122
-3.8339407020847323,-1.81150367716,243.86378479
-3.8616442357722054,-1.82456471445,243.864654541
-3.889252571509476,-1.83762575034,243.86546325700002
-3.9168609048244067,-1.85067569744,243.86614990200002
-3.944469238139338,-1.86373673147,243.86630249
-3.972172771826811,-1.87680885429,243.86697387700002
-3.9996859047691995,-1.88990315236,243.868301392
-4.027294238084131,-1.90297527611,243.87071228
-4.054807371026518,-1.91603631107,243.873641968
-4.082320503968907,-1.92909734603,243.87794494599999
-4.109833632066616,-1.94212511741,243.883239746
-4.137251567058801,-1.95514180651,243.89158630400001
-4.1646694947839675,-1.9681474017,243.90229797400002
-4.192087427353814,-1.9811086501,243.913909912
-4.219505359923659,-1.99401445873,243.92590332
-4.246923290071165,-2.00687592197,243.93836975099998
-4.274246019846129,-2.01969303098,243.949996948
-4.301663949993634,-2.03246579226,243.961380005
-4.3290818825634805,-2.04519420443,243.971847534
-4.356499812710987,-2.05788935535,243.982452393
-4.383917745280832,-2.07055123942,243.993362427
-4.411335675428338,-2.08319095103,244.00486755400001
-4.438753607998184,-2.09584175097,244.017333984
-4.46617153814569,-2.10850363504,244.02885437
-4.493494265498314,-2.12117661163,244.04037475599998
-4.520816997695617,-2.13393828506,244.024093628
-4.547949324303156,-2.14681083197,244.03538513200002
-4.575081653333034,-2.15970555367,244.046173096
-4.602213979940573,-2.1725891903,244.057174683
-4.629346308970451,-2.18546173628,244.067550659
-4.656383435205448,-2.1983231972,244.077514648
-4.683515761812986,-2.21118465997,244.08845519999997
-4.710552888047983,-2.22404611902,244.099456787
-4.7374948163327755,-2.23691866687,244.109802246
-4.76443673977289,-2.24978012964,244.11958313
-4.791378665635343,-2.26260832511,244.12902832
-4.8183205914977965,-2.27539217239,244.138092041
-4.845167316987708,-2.28812058363,244.146896362
-4.872014040055279,-2.30078247096,244.15647888200002
-4.89886076554519,-2.31340000592,244.167861938
-4.925707486190422,-2.32599536981,244.180252075
-4.95245901130779,-2.33853529254,244.192977905
-4.9791153336302765,-2.35104195448,244.205734253
-5.005866856325306,-2.36349317711,244.218185425
-5.032523178647792,-2.37592222635,244.229888916
-5.059084298175396,-2.38831801387,244.24110412599998
-5.085645417703,-2.40068053734,244.252502441
-5.112206542075283,-2.41303197388,244.263961792
-5.138672458808005,-2.42537232349,244.275817871
-5.1651383803854065,-2.43771267263,244.287246704
-5.191604299540468,-2.45005302131,244.29888916
-5.217879817950444,-2.46238228306,244.30955505400001
-5.244155333938081,-2.47470045881,244.32011413599997
-5.2704308499257175,-2.4870075467,244.330368042
-5.296611167963151,-2.49929245841,244.340164185
-5.322696280783363,-2.51152193407,244.35081481900002
-5.348781398448255,-2.52370705782,244.36181640599997
-5.374866513690806,-2.53583674412,244.373321533
-5.400951626511018,-2.54793317104,244.38444519
-5.4269415413810265,-2.55999633111,244.395187378
-5.452931453828696,-2.57204840844,244.40504455599998
-5.478826165903823,-2.58407830726,244.41505432099999
-5.504816083196172,-2.59607494483,244.425537109
-5.530710792848959,-2.60803832207,244.435958862
-5.5566055073464256,-2.61996843386,244.446334839
-5.5825002194215525,-2.63186528301,244.456573486
