heading,x,y
239.82824707,31.3027611445,121.291513755
239.828109741,31.3027611458,121.291513755
239.828109741,31.3027611475,121.291513754
239.828063965,31.3027611494,121.291513753
239.830062866,31.3027611514,121.291513752
239.831359863,31.3027611535,121.291513751
239.833175659,31.3027611553,121.29151375
239.833847046,31.302761157,121.29151375
239.834884644,31.3027611584,121.291513749
239.835128784,31.3027611596,121.291513749
239.835083008,31.3027611606,121.291513748
239.834289551,31.3027611615,121.291513748
239.833572388,31.3027611621,121.291513748
239.83354187,31.3027611626,121.291513747
239.833572388,31.3027611628,121.291513747
239.835067749,31.3027611628,121.291513747
239.836364746,31.3027611629,121.291513746
239.837768555,31.3027611631,121.291513746
239.838546753,31.3027611637,121.291513746
239.839416504,31.3027611646,121.291513746
240.303070068,31.3027611659,121.291513745
240.303115845,31.3027611673,121.291513745
240.302719116,31.3027611687,121.291513745
240.304382324,31.3027611699,121.291513745
240.305374146,31.3027611709,121.291513745
240.306732178,31.3027611716,121.291513745
240.308258057,31.3027611722,121.291513745
240.309799194,31.3027611726,121.291513745
240.310623169,31.3027611729,121.291513745
240.31161499,31.3027611732,121.291513745
240.31137085,31.3027611734,121.291513745
240.311248779,31.3027611734,121.291513745
240.311325073,31.3027611734,121.291513746
240.311325073,31.3027611733,121.291513746
240.31199646,31.3027611732,121.291513747
240.312606812,31.3027611732,121.291513748
240.313293457,31.3027611732,121.291513748
240.314727783,31.3027611732,121.291513749
240.315933228,31.3027611733,121.291513749
240.316955566,31.3027611733,121.291513749
240.317871094,31.3027611735,121.29151375
240.318527222,31.3027611736,121.29151375
240.319046021,31.3027611737,121.29151375
240.31930542,31.3027611739,121.29151375
240.319992065,31.302761174,121.29151375
240.321456909,31.302761174,121.29151375
240.322235107,31.302761174,121.291513751
240.323379517,31.3027611739,121.291513751
240.325286865,31.3027611738,121.291513752
240.326675415,31.3027611738,121.291513752
240.327987671,31.3027611739,121.291513752
240.328308105,31.3027611741,121.291513752
240.328933716,31.3027611745,121.291513753
240.329696655,31.3027611749,121.291513753
240.330978394,31.3027611754,121.291513753
240.331436157,31.3027611758,121.291513753
240.332077026,31.3027611762,121.291513753
240.333618164,31.3027611766,121.291513754
240.334518433,31.302761177,121.291513753
240.335739136,31.3027611776,121.291513753
240.336547852,31.3027611782,121.291513753
240.337265015,31.3027611788,121.291513752
240.337158203,31.3027611794,121.291513752
240.337982178,31.30276118,121.291513751
240.338638306,31.3027611806,121.291513751
240.339279175,31.3027611812,121.29151375
240.340454102,31.3027611819,121.29151375
240.342071533,31.3027611827,121.291513749
240.343734741,31.3027611837,121.291513748
240.775299072,31.3027611847,121.291513748
240.776077271,31.3027611855,121.291513748
240.776809692,31.3027611863,121.291513748
240.778518677,31.3027611871,121.291513747
240.778991699,31.302761188,121.291513747
240.780029297,31.3027611888,121.291513746
240.781509399,31.3027611897,121.291513746
240.78288269,31.3027611907,121.291513745
240.784576416,31.3027611915,121.291513745
240.785324097,31.3027611923,121.291513744
240.786224365,31.3027611931,121.291513744
240.787185669,31.3027611938,121.291513743
240.788238525,31.3027611945,121.291513743
240.788833618,31.3027611954,121.291513743
240.789413452,31.3027611962,121.291513742
240.790725708,31.3027611973,121.291513742
240.792022705,31.3027611984,121.291513742
